"idx","file","title","caption","date","ts"
"65","ig-065.jpg","So, you've seen the schedule... but what is the Meet & Greet really...","So, you've seen the schedule... but what is the Meet & Greet really about?  Let us break it down for you! Think of it as your friendly, fun-filled launchpad into university life!  It's NOT just another orientation. It's where:  You walk in knowing no one and walk out with a brand-new family.   Yo...","Aug 2025","1756391412"
"66","ig-066.jpg","officially beginning this new 17th chapter together","officially beginning this new 17th chapter together  Thank you to everyone who attended and celebrated with us, as well as to all the student societies and friends who sent their support and warm wishes despite not being able to join us in person. We truly appreciate all the encouragement and loo...","May 2026","1778650393"
"67","ig-067.jpg","officially beginning this new 17th chapter together","officially beginning this new 17th chapter together  thank you to everyone who attended and celebrated with us, as well as to all the student societies and friends who sent their support and warm wishes despite not being able to join us in person. we truly appreciate all the encouragement and loo...","May 2026","1778648707"
"68","ig-068.jpg","CUHK ISA Wrapped: 2025 Edition!","CUHK ISA Wrapped: 2025 Edition! As we approach the end of the year, let's take a moment to reflect on an unforgettable journey together!  From surviving group projects to conquering exams, we did it all-together!  Cheers to making mind-blowing memories and mastering the art of procrastination. Wi...","Dec 2025","1765459523"
"69","ig-069.jpg","New to CUHK and feeling overwhelmed?","New to CUHK and feeling overwhelmed?  We've got you covered! Join the iBuddy mentorship program and get matched with 1-2 awesome senior mentors.  They're here to help you navigate campus life, discover the tastiest treats in Hong Kong, and make new friends!   As an iBuddy mentee, you'll receive t...","Jul 2025","1752284868"
"70","ig-070.jpg","LAST CALL: POD LEADER REGISTRATION","LAST CALL: POD LEADER REGISTRATION  It's 2 DAYS BEFORE registration is officially closed - and you haven't applied yet?  Better hurry, because the spots are already filled with amazing people you'll want to know and work with!  Don't miss you chance! APPLY HERE + Link in bio https://docs.google.c...","May 2026","1779876672"
"71","ig-071.jpg","ISA CUHK","ISA CUHK","Jun 2026","1782325084"
"72","ig-072.jpg","ISA 2025 Dai Pai Dong WRAPPED UP!","ISA 2025 Dai Pai Dong WRAPPED UP!  The energy was on another level as hundreds of international students came together for a night of pure joy, laughter, and unforgettable memories.  See you guys next year! Cheers #ISA2025 #DaipaiDong #InternationalStudents #UniversityLife #FoodComa #GlobalVibes...","Oct 2025","1759896746"
"73","ig-073.jpg","Curious about anything university-related? Don't hesitate to reach...","Curious about anything university-related? Don't hesitate to reach out with your questions! We're here to help you every step of the way!  Swipe left to scan the QR code or click the link in our bio for more info! Let's make your CUHK journey unforgettable!  Application Link: https://forms.gle/rQ...","Jul 2025","1752285127"
"74","ig-074.jpg","New to CUHK and feeling overwhelmed?","New to CUHK and feeling overwhelmed?  We've got you covered! Join the iBuddy mentorship program and get matched with 1-2 awesome senior mentors.  They're here to help you navigate campus life, discover the tastiest treats in Hong Kong, and make new friends!   As an iBuddy mentee, you'll receive t...","Jul 2025","1752284868"
"75","ig-075.jpg","CUHK ISA Wrapped: 2025 Edition!","CUHK ISA Wrapped: 2025 Edition! As we approach the end of the year, let's take a moment to reflect on an unforgettable journey together!  From surviving group projects to conquering exams, we did it all-together!  Cheers to making mind-blowing memories and mastering the art of procrastination. Wi...","Dec 2025","1765459523"
"76","ig-076.jpg","ISA CUHK","ISA CUHK","Jun 2026","1782325084"
"77","ig-077.jpg","WE SEE YOU, FRESHMEN!","WE SEE YOU, FRESHMEN!  A massive thank you to everyone who joined our ISA Meet & Greet! The energy was everything! We loved meeting each and every one of you and can't wait for all the events we have planned this year. Get ready for a year of fun, friendship, and fantastic memories! Welcome to th...","Sep 2025","1757937096"
"78","ig-078.jpg","Biggest thank you to Mr. Erwin Chan, our Guest speaker in our colla...","Biggest thank you to Mr. Erwin Chan, our Guest speaker in our collaboration event with Jockey club shining together with cross-cultural youth project (@jcst.hkust) Division of public policy, HKUST. Hope his sharing can gave many insights for your job search and interview‍  Good luck! Add oil! #ch...","Dec 2025","1764767065"
"79","ig-079.jpg","WE SEE YOU, FRESHMEN!","WE SEE YOU, FRESHMEN!  A massive thank you to everyone who joined our ISA Meet & Greet! The energy was everything! We loved meeting each and every one of you and can't wait for all the events we have planned this year. Get ready for a year of fun, friendship, and fantastic memories! Welcome to th...","Sep 2025","1757937096"
"80","ig-080.jpg","ISA 2025 Dai Pai Dong WRAPPED UP!","ISA 2025 Dai Pai Dong WRAPPED UP!  The energy was on another level as hundreds of international students came together for a night of pure joy, laughter, and unforgettable memories.  See you guys next year! Cheers #ISA2025 #DaipaiDong #InternationalStudents #UniversityLife #FoodComa #GlobalVibes...","Oct 2025","1759896746"
"81","ig-081.jpg","CUHK ISA Wrapped: 2025 Edition!","CUHK ISA Wrapped: 2025 Edition! As we approach the end of the year, let's take a moment to reflect on an unforgettable journey together!  From surviving group projects to conquering exams, we did it all-together!  Cheers to making mind-blowing memories and mastering the art of procrastination. Wi...","Dec 2025","1765459523"
"82","ig-082.jpg","ISA CUHK","ISA CUHK","Jun 2026","1782325084"
"83","ig-083.jpg","Cheers to our PR Manager! If ISA's contents are trending, you know...","Cheers to our PR Manager! If ISA's contents are trending, you know who's behind it  Kimberly : Hi everyone! I'm Kimberly, one of your PR Managers. I'm from Indonesia and currently a first year IBBA student. I absolutely love watching movies, but with sweet popcorn only! Since I spend A LOT of tim...","May 2026","1778913000"
"84","ig-084.jpg","officially beginning this new 17th chapter together","officially beginning this new 17th chapter together  thank you to everyone who attended and celebrated with us, as well as to all the student societies and friends who sent their support and warm wishes despite not being able to join us in person. we truly appreciate all the encouragement and loo...","May 2026","1778648707"
"85","ig-085.jpg","CUHK ISA Wrapped: 2025 Edition!","CUHK ISA Wrapped: 2025 Edition! As we approach the end of the year, let's take a moment to reflect on an unforgettable journey together!  From surviving group projects to conquering exams, we did it all-together!  Cheers to making mind-blowing memories and mastering the art of procrastination. Wi...","Dec 2025","1765459523"
"86","ig-086.jpg","ISA CUHK","ISA CUHK","Jun 2026","1782325084"
"87","ig-087.jpg","ISA CUHK","ISA CUHK","Jun 2026","1782325084"
"88","ig-088.jpg","SPEED is the name of the game!","SPEED is the name of the game! The friendship version of 'fast food'-quick, fun, and surprisingly filling let's speedrun this friendship thing with 3 rounds. 20 minutes. Infinite chaos! Sign up now! : https://forms.gle/tMNBMoCR6ZxNw83KA Meet Seniors from @shhoisa @ccia.cuhk @mcsu2526  #cuhk #isa...","Aug 2025","1754994488"
"89","ig-089.jpg","Please Welcome ISA's 17th Cabinet!","Please Welcome ISA's 17th Cabinet!  With new crew, new vibes, same unstoppable ISA spirit, we are ready to make waves  Buckle up, because this ride is just getting started!","Apr 2026","1776343291"
"90","ig-090.jpg","ISA CUHK","ISA CUHK","Jun 2026","1782325084"
"91","ig-091.jpg","ISA CUHK","ISA CUHK","Jun 2026","1782325084"
"92","ig-092.jpg","CUHK College Info # 1 Original Colleges","CUHK College Info # 1 Original Colleges  Traditions  Sunsets  Activities Three colleges, three different experiences. Which one sounds most like you?  Swipe to discover Chung Chi, New Asia, and United College at CUHK!  We have tagged their official Instagram and their international student commun...","Jun 2026","1781502870"
"93","ig-093.jpg","So, you've seen the schedule... but what is the Meet & Greet really...","So, you've seen the schedule... but what is the Meet & Greet really about?  Let us break it down for you! Think of it as your friendly, fun-filled launchpad into university life!  It's NOT just another orientation. It's where:  You walk in knowing no one and walk out with a brand-new family.   Yo...","Aug 2025","1756391412"
"94","ig-094.jpg","officially beginning this new 17th chapter together","officially beginning this new 17th chapter together  thank you to everyone who attended and celebrated with us, as well as to all the student societies and friends who sent their support and warm wishes despite not being able to join us in person. we truly appreciate all the encouragement and loo...","May 2026","1778648707"
"95","ig-095.jpg","CUHK ISA Wrapped: 2025 Edition!","CUHK ISA Wrapped: 2025 Edition! As we approach the end of the year, let's take a moment to reflect on an unforgettable journey together!  From surviving group projects to conquering exams, we did it all-together!  Cheers to making mind-blowing memories and mastering the art of procrastination. Wi...","Dec 2025","1765459523"
"96","ig-096.jpg","Meet our amazing Secretary!","Meet our amazing Secretary! The organizational backbone of our team, keeping schedules aligned, communication flowing, and every detail in check.  Bianca : Hellooo everyone! I'm Bianca, one of the secretaries too this year . I am a first year COMMN student from Indonesia. I LOVE love watching , a...","May 2026","1778916600"
"97","ig-097.jpg","officially beginning this new 17th chapter together","officially beginning this new 17th chapter together  thank you to everyone who attended and celebrated with us, as well as to all the student societies and friends who sent their support and warm wishes despite not being able to join us in person. we truly appreciate all the encouragement and loo...","May 2026","1778648707"
"98","ig-098.jpg","CUHK ISA Wrapped: 2025 Edition!","CUHK ISA Wrapped: 2025 Edition! As we approach the end of the year, let's take a moment to reflect on an unforgettable journey together!  From surviving group projects to conquering exams, we did it all-together!  Cheers to making mind-blowing memories and mastering the art of procrastination. Wi...","Dec 2025","1765459523"
"99","ig-099.jpg","Thank you everyone who came to the 2026 PrepAsia × ISA Bootcamp! We...","Thank you everyone who came to the 2026 PrepAsia × ISA Bootcamp! We hope you learned something valuable, found new perspectives, and feel more confident about your next steps in Hong Kong's job market.  Huge thanks to @prepasia_community and @myles.ng for making it happen!  Follow the PrepAsia Co...","Apr 2026","1776000781"
"100","ig-100.jpg","CUHK ISA Wrapped: 2025 Edition!","CUHK ISA Wrapped: 2025 Edition! As we approach the end of the year, let's take a moment to reflect on an unforgettable journey together!  From surviving group projects to conquering exams, we did it all-together!  Cheers to making mind-blowing memories and mastering the art of procrastination. Wi...","Dec 2025","1765459523"
"101","ig-101.jpg","Get ready to show off your skills with your best duo with the CLASH...","Get ready to show off your skills with your best duo with the CLASH 2V2 Tournament!! Rules: - ‍‍ Pick your own teammates - Maximum of 1 evolution per deck allowed - Maximum of 1 Champions will be allowed per deck - ‍ Heros are NOT allowed - All games will be recorded - Onsite finale (Top 4) will...","Dec 2025","1765804197"
"102","ig-102.jpg","Boss mode: ON Our president is leading steering the ship with her b...","Boss mode: ON Our president is leading steering the ship with her beauty, vision, and charisma   Hola amigosss, I'm Aashni - no, I'm not Spanish, I just like saying that   I'm your President for ISA's 17th Cabinet and a first-year IBBA student from Kathmandu, Nepal. You'll probably see me somewhe...","May 2026","1778920200"
"103","ig-103.jpg","Get ready to show off your skills with your best duo with the CLASH...","Get ready to show off your skills with your best duo with the CLASH 2V2 Tournament!! Rules: - ‍‍ Pick your own teammates - Maximum of 1 evolution per deck allowed - Maximum of 1 Champions will be allowed per deck - ‍ Heros are NOT allowed - All games will be recorded - Onsite finale (Top 4) will...","Dec 2025","1765804197"
"104","ig-104.jpg","Join the 17th Cabinet of the CUHK International Student Association!","Join the 17th Cabinet of the CUHK International Student Association!  Recruitment Timeline: - January 20:Application Opens  - January 28:Application Closes  - February 5:  - Individual Task Submission (7 PM)   - In-person Briefing (8 PM)  - February 9-14:Group Interviews  - February 27:Group Pres...","Jan 2026","1768921827"
"105","ig-105.jpg","Please Welcome ISA's 17th Cabinet!","Please Welcome ISA's 17th Cabinet!  With new crew, new vibes, same unstoppable ISA spirit, we are ready to make waves  Buckle up, because this ride is just getting started!","Apr 2026","1776343281"
